## Chapter 1: Intro
0:033 secondsbeing an entrepreneur is like one of the most natural things that you can do
0:1111 secondsI had six employees in October and now I'm saying that it's going to be worth a billion dollars in 12 months
0:2121 secondsI am having to impose order on chaos
0:3838 secondsyou bang your head against the wall for 10 years and then all of a sudden it's way more success than you ever thought possible all at once
0:4848 secondsand it's just so wild to think about how much things have changed right since yesterday the house rejected the
0:5757 seconds700 billion dollar bailout plan sending shock waves through Wall Street Lehman Brothers is going bankrupt in financial
1:041 minute, 4 secondsmarkets from Asia I worked at Lehman Brothers in that environment
1:121 minute, 12 secondsthe only reason that you are working is to make money and Advance yourself like towards making more money like
1:231 minute, 23 secondsguys who are my first roommates were starting this website called Vimeo in my apartment
1:291 minute, 29 seconds[Music]
1:311 minute, 31 secondsI watched that thing happen and they appeared to be getting a deeper satisfaction on what they were doing I had kind of saved enough money to be
1:381 minute, 38 secondslike I want to go try to be an entrepreneur I had no experience no filter but like super high level of
1:451 minute, 45 secondsconfidence in myself I left Wall Street and I was like oh man like I can do anything like I'll crush
1:521 minute, 52 secondsthis this stuff and like it just like you know it's like your confidence goes from here and then you just then I mean
2:002 minutesI just like realized that I just knew nothing
2:062 minutes, 6 seconds[Music]
2:172 minutes, 17 seconds[Applause]
2:222 minutes, 22 secondslet me tell you a little bit about Adam Robinson beyond having uh really great hair he's also the CEO and founder of retention.com Adam has uh bootstrap
2:312 minutes, 31 secondsretention to 14 million in ARR with six people in two and a half years and is on the road to reaching 50 million in ARR
2:382 minutes, 38 secondsby 2024. let's bring him up and talk about the unfathomable magic of email and SMS flows
2:472 minutes, 47 secondsI just wanted to share a story first that's been going on in my life it's been incredibly impactful to me probably the most impactful thing that's ever
2:542 minutes, 54 secondshappened to me how many people here have ever been stuck anywhere [ __ ] Liars the people without their
3:023 minutes, 2 secondshands up so I was running a really good lifestyle business we had this business we're paying
3:163 minutes, 16 secondsher I found that to be like just slightly dissatisfying because
3:233 minutes, 23 secondsyou're not all in
3:323 minutes, 32 secondsI had tried to sell it last year and the buyer walked at the last second
3:403 minutes, 40 secondsdoes anybody have any idea who this guy is this guy is Dave Rogan Moser he is the
3:483 minutes, 48 secondsfounder and CEO of Jasper AI Jasper can fine tune the voice and tone of your writing sorry to hear about the problems with your account I'll make sure
3:573 minutes, 57 secondseverything goes smoothly smiley face nice two years and two months ago today he was stuck I know because I've shared an office with him for four years and I
4:064 minutes, 6 secondswas stuck in the same place
4:164 minutes, 16 secondsthey offered me this closet basically for 500 bucks a month which is way way cheaper than you can get in office anywhere else I think Dave likes having
4:254 minutes, 25 secondsme around I like being around him throughout our Journeys we have pushed each other to to think bigger and go harder and not quit and everything
4:344 minutes, 34 secondsum and I think we're going to continue doing that they were contemplating selling a business for four million dollars they
4:424 minutes, 42 secondsgot to 60 million error in 14 months they raised 200 million dollars at a 1.5 billion valuation unbelievable
4:504 minutes, 50 secondsreally like running ads on Twitter retargeting my own followers has been really effective yeah but obviously requires you have a base one thing the
4:584 minutes, 58 secondsDave thing was really impactful what's crazy was it was one conversation with one guy that Dave had hired he talked to
5:065 minutes, 6 secondsme for 10 minutes and he like understood all the metrics in my business he's like dude like you have to try harder there is a an exponential opportunity that
5:155 minutes, 15 secondsyou're just like leaving on the table and after that conversation I was like I actually think I have a better business than they do I mean if if you didn't have this conversation I don't know how
5:245 minutes, 24 secondselse you would learn about it like if you're not you know what I mean it like lit this fire in me to change everything
5:325 minutes, 32 secondsyou gotta keep throwing spaghetti against the wall I went on a quest that led me to find
5:435 minutes, 43 secondsthis like amazing wonderful man named Santosh Sharon who has built some of the biggest B2B data companies the biggest
5:505 minutes, 50 secondsone is zoom info there's no way without Santos that I was
5:585 minutes, 58 secondsgetting there so this is something I've made in the past let's download it the recipe it says
6:056 minutes, 5 secondsstart cooking and then as I start putting tomato it it starts weighing it and and then it will chop and like blend
6:136 minutes, 13 secondsand then it Cooks of course I'm Santosh Sharon on the surface when I engage with companies I help them grow I
6:226 minutes, 22 secondslook for teams or individuals that are just the right you know place in their
6:306 minutes, 30 secondslives where they are willing to undergo a journey of transformation I run into all kinds of entrepreneurs
6:396 minutes, 39 secondsand most of the time they're looking for help but they just want me to say things that they already know right they want
6:466 minutes, 46 secondsme to confirm what they are already thinking is the right way to go right
6:516 minutes, 51 seconds[Music]
6:536 minutes, 53 secondswhat is reflected in this is if we just grew our staff one more time and then just said okay we're gonna chill here so like New Market is not reflected in the
7:027 minutes, 2 secondsproducts are not reflected Santosh knows more about everything than I do and I was like if you could just tell me which direction to run in
7:107 minutes, 10 secondsI can run faster and harder than anybody I just am lost right now most of the time the entrepreneurs are not ready to
7:177 minutes, 17 secondsgo on this journey they are to go from like point A to point B and after that they're like yep I got it I know I I'm
7:247 minutes, 24 secondsdone I don't want to go any further especially those Enterprise drives but really what they're doing
7:317 minutes, 31 secondsis they're limiting themselves right and and the limits they're putting ahead of themselves is really a function of their
7:397 minutes, 39 secondspast experiences
7:417 minutes, 41 seconds[Music]
7:437 minutes, 43 secondswe're like creating this ecosystem that will enable people to Target and post third-party cookie world and we're enabling it over email which is like a
7:527 minutes, 52 secondschannel that no one enables it over I was just running the numbers and you know I just think this is like so much bigger than we thought it was just like
8:008 minutesif we basically fix these five things we can go you know as fast as humanly possible totally doable for us it was selling faster than we were
8:088 minutes, 8 secondsselling the monthly stuff and at that moment we were like okay now it's time to be borderline irresponsible and how
8:168 minutes, 16 secondsfast we grow this thing
## Chapter 2: Hiring
8:288 minutes, 28 seconds[Music]
8:368 minutes, 36 secondsSantosh was on vacation in Europe and he's like emailing me in the middle of the night how he thinks we're going to be worth a billion dollars by the end of
8:438 minutes, 43 secondsthe year okay
8:538 minutes, 53 seconds[Music]
8:598 minutes, 59 secondsthis is this week look I have a free hour on Friday where I can like eat lunch or something
9:079 minutes, 7 secondsbut basically no other free slots this is unsustainable
9:119 minutes, 11 seconds[Music]
9:149 minutes, 14 secondsbut there's only 24 hours in life and he was trying to do everything you know as an entrepreneur you almost feel the burden
9:229 minutes, 22 secondsof being the the leader if you like you know you have to do everything that others can't do
9:309 minutes, 30 seconds[Music]
9:339 minutes, 33 secondsthen it's like we need to hire I'm like Diana like who who have you ever hired we just don't have
9:469 minutes, 46 secondssomething Adam and I have always been a little hesitant on heart like like managing people just brings a whole set of
9:559 minutes, 55 secondsdifferent challenges I do not know how to go out and find attract and hire a group
10:0410 minutes, 4 secondsone person let alone 40. we are all in some sort of emotional Loop we just stay
10:1110 minutes, 11 secondstether and you know restrain to our past and don't realize like how powerful we are and how far we can go
10:2010 minutes, 20 secondsespecially if you do it the right way all the individuals in the company have to unlock their potential truly know how
10:2710 minutes, 27 secondspowerful they are right and somehow cut that chord with the past right that limits them so we've hired three VP
10:3510 minutes, 35 secondslevel people of the 30 that we hired and this is since November 1st we've fired two of them already wrong fit for the
10:4210 minutes, 42 secondsrole pretty much makes me feel like I suck at hiring uh which is what it is
10:4710 minutes, 47 seconds[Music]
11:0411 minutes, 4 seconds[Music]
## Chapter 3: Scaling
11:1411 minutes, 14 secondsAdam's been working more than he's ever worked before he's energized he's excited about what he's doing and that
11:2111 minutes, 21 secondsis what I think everyone should want to be you know excited happy for what they're doing and I want my partner to feel that way so I'm very happy for him
11:3011 minutes, 30 secondsforeign
11:3211 minutes, 32 seconds[Music]
11:3511 minutes, 35 secondswe have a six month old so it is a bit stressful not having him here in the past he has been here a lot like we
11:4311 minutes, 43 secondswould eat lunch together a lot I do think it's important to stop
11:5111 minutes, 51 secondsuh I think if you don't stop working and you work too much like I know it would erode my relationship with Helen substantially
